;Filename;Count
0;j.jct.2008.05.014;48
1;je501106d;42
2;j.jct.2011.01.014;30
3;j.fluid.2008.03.004;15
4;j.fluid.2014.11.005;12
5;j.jct.2012.11.032;11
6;j.jct.2007.02.002;10
7;j.tca.2013.12.021;10
8;j.jct.2007.05.005;9
9;j.jct.2013.04.017;8
10;je100967k;8
11;j.jct.2013.05.009;8
12;j.tca.2011.07.023;7
13;j.jct.2015.06.009;7
14;j.jct.2013.11.027;7
15;je100765j;7
16;je5007604;7
17;j.tca.2013.08.002;7
18;j.jct.2014.03.021;7
19;je300134c;7
20;j.jct.2015.02.011;7
21;j.jct.2009.01.008;7
22;j.jct.2012.09.015;6
23;je900597n;6
24;j.tca.2011.07.005;6
25;j.jct.2013.09.008;6
26;acs.jced.5b00317;6
27;j.jct.2007.02.008;6
28;j.tca.2011.01.019;6
29;j.fluid.2007.12.007;6
30;j.jct.2005.10.009;6
31;j.jct.2006.06.008;6
32;j.fluid.2007.07.016;6
33;je7001804;6
34;j.fluid.2014.06.005;6
35;j.tca.2011.02.004;6
36;j.tca.2014.06.028;5
37;je100610v;5
38;j.jct.2013.11.015;5
39;acs.jced.5b00343;5
40;j.tca.2013.12.015;5
41;j.jct.2011.09.008;5
42;j.jct.2013.05.012;5
43;j.jct.2013.11.021;5
44;j.fluid.2007.07.066;5
45;je200609g;5
46;j.jct.2013.05.003;5
47;j.jct.2012.03.025;5
48;je9003959;5
49;je060200b;5
50;j.tca.2013.05.015;4
51;je500594z;4
52;j.tca.2012.10.017;4
53;je1008262;4
54;j.jct.2012.02.023;4
55;je400781b;4
56;j.jct.2006.03.010;4
57;j.fluid.2011.06.011;4
58;j.jct.2013.05.037;4
59;j.fluid.2006.02.023;4
60;je400539h;4
61;j.jct.2013.08.010;4
62;j.jct.2012.04.020;4
63;j.jct.2007.05.016;4
64;j.jct.2009.08.016;4
65;s10765-010-0862-1;3
66;j.tca.2010.04.025;3
67;je7005727;3
68;je050294+;3
69;j.jct.2015.03.023;3
70;je7007654;3
71;j.tca.2013.09.006;3
72;je201334p;3
73;je060017i;3
74;j.jct.2010.07.014;3
75;j.jct.2012.12.010;3
76;j.jct.2012.02.007;3
77;j.jct.2013.08.016;3
78;j.jct.2013.08.021;3
79;j.jct.2014.09.011;3
80;je0601098;3
81;je060228n;3
82;je800981d;3
83;je700281z;3
84;je9006597;3
85;j.jct.2014.01.030;3
86;j.jct.2006.10.017;3
87;j.tca.2005.10.008;3
88;je300384g;3
89;j.jct.2012.08.023;3
90;je400134d;3
91;j.jct.2012.12.007;3
92;j.jct.2006.03.018;2
93;j.jct.2005.06.011;2
94;je900274n;2
95;je100652b;2
96;j.jct.2006.08.003;2
97;j.jct.2010.05.016;2
98;j.jct.2012.05.033;2
99;j.tca.2009.03.014;2
100;j.jct.2011.08.028;1
101;j.tca.2008.06.004;1
102;je060126x;1
103;j.jct.2012.07.019;1
104;je201152j;1
105;j.fluid.2013.06.021;1
106;j.jct.2013.08.033;1
107;je1012857;1
108;j.jct.2011.01.005;1
109;j.jct.2015.06.029;1
110;j.jct.2013.10.025;1
111;je700338t;1
112;j.tca.2010.03.012;1
113;j.jct.2007.04.006;1
114;s10765-009-0665-4;1
115;je9010882;1
116;j.jct.2012.08.030;1
117;je060311a;1
118;j.jct.2013.09.015;1
119;j.tca.2014.06.031;1
120;j.jct.2009.01.010;1
121;j.jct.2009.06.001;1
122;j.jct.2013.09.005;1
123;je0500330;1
124;j.tca.2011.06.003;1
