;Filename;Count
0;j.fluid.2008.03.004;2340
1;s10765-007-0223-x;1812
2;j.jct.2011.08.016;1500
3;je200721d;1500
4;je034005y;1386
5;je4001203;1309
6;je200527t;1230
7;je0340755;1130
8;je400361k;1092
9;j.jct.2013.11.014;1057
10;j.jct.2007.04.005;1031
11;j.jct.2011.02.018;988
12;j.jct.2007.11.009;968
13;j.jct.2008.11.006;897
14;je400055v;894
15;j.jct.2004.10.001;893
16;je300175w;886
17;j.fluid.2013.06.041;884
18;je901020a;834
19;j.fluid.2006.05.032;819
20;je500914a;812
21;j.fluid.2014.06.005;792
22;j.jct.2004.07.019;788
23;je034056v;786
24;je100734t;768
25;j.jct.2013.05.051;756
26;j.fluid.2013.08.007;756
27;je049671t;745
28;j.jct.2005.03.016;720
29;j.jct.2012.06.012;720
30;j.jct.2008.01.015;710
31;j.jct.2013.05.004;702
32;je034101z;650
33;je201184b;650
34;j.jct.2011.08.012;648
35;j.jct.2007.01.015;647
36;j.fluid.2005.05.023;639
37;je800593p;620
38;j.jct.2006.08.009;616
39;j.jct.2006.09.013;613
40;j.fluid.2013.11.031;600
41;je050261u;585
42;j.jct.2008.05.014;563
43;j.fluid.2013.06.021;560
44;j.jct.2009.09.001;552
45;je301082y;540
46;je5009334;528
47;je800024u;484
48;cs.jced.5b00031;480
49;je8000975;470
50;j.jct.2007.05.005;468
51;j.jct.2006.06.008;468
52;j.jct.2014.01.020;450
53;j.jct.2012.09.026;433
54;je0302304;432
55;je200373q;423
56;j.jct.2013.04.021;420
57;je900478c;398
58;je050200w;396
59;je900468u;389
60;j.jct.2007.01.009;387
61;je8004694;384
62;je100362p;384
63;je0605036;369
64;j.tca.2014.01.027;360
65;j.jct.2010.10.018;360
66;cs.jced.5b00613;359
67;j.jct.2014.08.019;358
68;j.jct.2005.05.020;356
69;je700428f;354
70;je060496l;352
71;j.jct.2013.09.039;345
72;je700281z;342
73;j.jct.2013.05.009;336
74;j.jct.2008.06.001;334
75;je7005727;330
76;j.jct.2012.12.003;324
77;j.jct.2009.01.008;324
78;j.jct.2012.10.023;320
79;je400529k;319
80;j.jct.2009.06.016;318
81;je501041r;318
82;j.jct.2004.09.014;315
83;j.tca.2012.04.002;308
84;je4004806;308
85;j.jct.2005.03.024;308
86;je030136n;302
87;je8008073;300
88;j.jct.2011.06.006;300
89;j.jct.2009.03.009;300
90;j.tca.2013.07.012;296
91;je050416y;294
92;j.jct.2013.10.025;288
93;j.jct.2007.05.016;288
94;j.jct.2008.02.005;288
95;je9005344;288
96;j.jct.2011.06.021;287
97;je030207i;285
98;je500265v;280
99;j.fluid.2006.12.011;273
100;je050540h;273
101;cs.jced.5b00790;270
102;j.jct.2012.12.007;270
103;j.jct.2008.09.006;267
104;j.jct.2010.09.008;265
105;je300632p;264
106;s10765-015-1980-6;264
107;j.jct.2006.03.018;264
108;j.jct.2006.02.001;264
109;j.jct.2007.06.010;264
110;je700499d;264
111;j.jct.2005.06.011;264
112;je100577v;260
113;j.jct.2007.10.010;256
114;j.jct.2010.10.025;256
115;j.jct.2010.08.019;252
116;je400512u;252
117;j.fluid.2007.01.001;252
118;j.jct.2012.02.001;250
119;je300827f;240
120;j.fluid.2006.04.016;239
121;je8009336;234
122;je034208m;234
123;j.jct.2007.02.008;234
124;j.jct.2007.09.004;234
125;je050060q;234
126;je700300y;231
127;je060490w;228
128;j.jct.2010.05.016;228
129;j.fluid.2011.11.005;228
130;je049663c;227
131;je9003806;226
132;j.tca.2008.07.011;225
133;j.fluid.2005.10.022;223
134;je5007532;222
135;je800497u;220
136;j.jct.2005.12.005;220
137;s10765-009-0667-2;220
138;j.fluid.2008.02.005;216
139;je5004719;216
140;j.jct.2005.03.006;215
141;j.jct.2005.06.010;212
142;j.jct.2010.07.016;210
143;j.jct.2009.08.016;208
144;je049776w;198
145;j.jct.2004.09.021;198
146;je500498m;196
147;je8001305;196
148;je700672f;195
149;s10765-008-0498-6;192
150;s10765-008-0491-0;192
151;je7007654;192
152;je500886a;192
153;je700626v;189
154;je050367p;189
155;je050031f;189
156;je0501639;189
157;je700140j;189
158;je901072c;188
159;s10765-006-0053-2;187
160;je301352v;187
161;j.jct.2008.12.004;186
162;je400184t;185
163;je0497810;182
164;j.jct.2013.10.013;180
165;s10765-006-0063-0;180
166;je201222n;180
167;je049691v;180
168;j.jct.2004.07.015;176
169;je050085p;175
170;j.jct.2010.11.004;174
171;je050484k;168
172;je700308j;168
173;j.tca.2009.07.002;168
174;j.jct.2009.11.018;168
175;j.jct.2009.02.002;168
176;j.jct.2008.01.008;166
177;j.jct.2015.06.009;165
178;je060335h;164
179;j.fluid.2015.07.012;164
180;je5000132;162
181;j.jct.2009.06.001;162
182;j.jct.2008.07.010;162
183;j.jct.2007.06.014;157
184;je060368x;155
185;je060179e;155
186;j.jct.2007.03.012;155
187;j.jct.2004.08.003;154
188;cs.jced.5b00009;154
189;je900722m;153
190;je9010486;152
191;je700580g;150
192;j.jct.2014.09.020;150
193;j.jct.2010.04.018;150
194;j.jct.2005.04.019;149
195;j.jct.2009.07.001;148
196;j.jct.2011.09.008;145
197;je8004613;145
198;je049685z;144
199;j.jct.2009.09.013;144
200;j.fluid.2012.09.007;144
201;je301095j;143
202;je0601098;140
203;j.jct.2005.03.012;140
204;j.jct.2009.04.001;138
205;s10765-008-0390-4;138
206;j.tca.2005.10.008;136
207;j.jct.2005.06.018;135
208;j.tca.2012.05.036;135
209;je300899n;132
210;je050376y;132
211;je049556i;132
212;j.jct.2005.10.022;132
213;j.tca.2012.10.024;132
214;je0504156;132
215;j.jct.2012.05.023;132
216;je200504u;132
217;j.jct.2007.04.011;130
218;j.jct.2005.05.010;130
219;je800504n;128
220;j.jct.2009.01.010;128
221;je0602519;126
222;je900274n;126
223;je100757w;126
224;je800664z;126
225;j.tca.2010.03.028;125
226;j.jct.2007.11.013;122
227;je0256028;121
228;j.jct.2013.11.036;121
229;je700254t;120
230;je0504212;119
231;j.jct.2013.12.028;117
232;je0342062;116
233;je049912x;116
234;je049807n;114
235;je049738c;114
236;je5004912;114
237;j.jct.2009.07.014;114
238;s10765-013-1469-0;110
239;je0502546;110
240;je800150h;108
241;j.jct.2013.06.020;108
242;j.fluid.2011.01.018;108
243;j.jct.2012.05.033;106
244;j.fluid.2009.06.015;106
245;je100888h;105
246;j.jct.2008.09.018;103
247;je050116g;102
248;je400977r;100
249;cs.jced.5b00300;100
250;j.fluid.2014.05.032;100
251;je900966r;100
252;je400839x;100
253;je600554h;99
254;je900938b;99
255;j.tca.2013.03.010;99
256;je0498457;97
257;je060389r;96
258;s10765-013-1526-8;96
259;je101173w;95
260;j.jct.2008.11.009;95
261;j.jct.2013.05.011;95
262;je060017i;94
263;j.fluid.2005.08.001;94
264;je0341918;91
265;j.jct.2012.08.033;90
266;j.jct.2012.08.023;90
267;j.jct.2009.06.014;90
268;j.jct.2005.02.006;90
269;je9010882;89
270;je3011634;89
271;je049540s;89
272;je900240s;88
273;je4003916;88
274;je030107c;88
275;je060395n;86
276;je034017j;86
277;je1009976;85
278;je900510x;85
279;j.jct.2014.06.031;85
280;j.fluid.2013.01.025;85
281;je049943s;85
282;j.fluid.2014.10.016;84
283;j.jct.2004.12.002;84
284;je201009c;84
285;j.fluid.2012.11.005;84
286;j.jct.2014.12.015;84
287;je0201323;84
288;j.fluid.2012.01.007;84
289;je9008014;82
290;je020149l;82
291;je800684x;80
292;je400423u;80
293;s10765-007-0259-y;80
294;je901063s;80
295;j.jct.2011.04.006;79
296;je030167i;78
297;j.fluid.2012.06.031;78
298;j.jct.2010.05.009;78
299;je020140j;77
300;je9001416;77
301;je060026r;76
302;j.jct.2007.05.004;76
303;je0603574;76
304;je0502142;76
305;je020195l;75
306;j.jct.2014.05.020;74
307;je800831d;74
308;je0500330;74
309;j.jct.2012.07.018;72
310;je050021e;70
311;je100484n;70
312;j.jct.2011.10.009;70
313;j.fluid.2010.08.024;69
314;j.fluid.2005.07.013;69
315;j.jct.2012.02.037;68
316;je9004933;68
317;je049960h;67
318;je100594u;67
319;je030196t;66
320;je100823t;66
321;j.jct.2005.09.004;66
322;je0501585;66
323;je049788h;65
324;j.jct.2013.08.033;65
325;j.fluid.2014.10.013;64
326;je049655w;63
327;je050010l;63
328;je900954y;63
329;j.jct.2013.05.014;63
330;j.tca.2009.06.004;62
331;je100897y;61
332;je060086x;61
333;je800940j;60
334;je200421s;60
335;j.jct.2015.12.002;60
336;j.jct.2013.11.021;60
337;j.jct.2005.10.011;60
338;j.jct.2012.11.017;60
339;je100095p;57
340;je034279l;57
341;je900560j;57
342;j.fluid.2009.11.010;57
343;je060238o;57
344;j.fluid.2014.05.031;56
345;je700344f;56
346;je401101u;55
347;je0600799;55
348;j.jct.2010.08.006;55
349;je200468r;54
350;je300670n;54
351;j.fluid.2007.06.007;54
352;j.fluid.2012.08.005;54
353;je4000394;50
354;j.fluid.2012.11.039;50
355;j.jct.2012.08.019;50
356;je101031j;50
357;je4003515;48
358;s10765-009-0665-4;48
359;j.jct.2012.11.001;48
360;j.fluid.2013.02.008;48
361;j.jct.2006.07.015;48
362;j.jct.2011.07.008;48
363;je501169y;48
364;j.jct.2010.10.002;46
365;j.fluid.2006.03.020;45
366;j.jct.2007.12.002;45
367;j.jct.2012.06.016;45
368;je049609w;44
369;je2000099;44
370;je049610v;44
371;s10765-010-0719-7;44
372;j.jct.2013.05.012;44
373;j.jct.2009.07.017;44
374;je030133a;42
375;j.tca.2014.05.014;40
376;j.fluid.2009.12.019;39
377;j.fluid.2010.05.017;39
378;je049836y;39
379;je700460w;39
380;je900807v;39
381;j.fluid.2004.12.013;38
382;j.fluid.2011.06.007;38
383;je0201370;38
384;je0497294;38
385;j.jct.2004.12.005;38
386;cs.jced.5b00331;37
387;j.jct.2006.01.012;37
388;j.jct.2005.05.004;37
389;j.jct.2014.01.002;36
390;j.jct.2007.05.010;36
391;je100390b;33
392;j.fluid.2008.06.019;33
393;j.fluid.2006.01.028;33
394;j.fluid.2011.03.030;33
395;j.tca.2005.08.034;33
396;j.jct.2010.01.008;33
397;j.jct.2006.08.011;33
398;j.fluid.2015.01.002;33
399;je020138s;32
400;j.jct.2006.08.007;30
401;j.tca.2010.05.016;30
402;j.fluid.2008.01.004;30
403;j.jct.2014.08.005;30
404;je300482b;30
405;je0501944;30
406;j.fluid.2007.07.066;30
407;je300526w;30
408;je025579q;30
409;j.tca.2010.11.013;30
410;je049932z;28
411;j.jct.2014.06.006;28
412;s10765-009-0622-2;27
413;je900077g;27
414;j.tca.2014.05.033;27
415;j.fluid.2012.06.028;27
416;je700700f;26
417;j.fluid.2012.03.025;26
418;j.tca.2009.01.003;25
419;je1005517;25
420;j.fluid.2011.11.022;24
421;je900725w;24
422;je101197a;24
423;je1001945;24
424;j.fluid.2009.03.002;24
425;j.jct.2013.09.008;24
426;je2000205;24
427;je300737t;24
428;je0600303;22
429;je900557u;22
430;je600578u;22
431;j.fluid.2007.08.020;22
432;j.jct.2013.05.040;22
433;je501178z;21
434;j.fluid.2007.03.017;21
435;j.jct.2013.08.007;21
436;je8004479;20
437;j.jct.2008.09.008;20
438;j.jct.2015.10.002;20
439;j.fluid.2006.02.022;20
440;je7005743;19
441;j.jct.2010.03.011;19
442;j.fluid.2007.04.009;19
443;je0503608;19
444;je030161t;19
445;je034253u;19
446;je0301242;19
447;je049852v;19
448;je900064e;18
449;je050353j;18
450;j.fluid.2012.01.023;18
451;j.jct.2011.06.013;18
452;je0504111;18
453;je600565m;18
454;je300631s;18
455;je800942u;18
456;je500982g;18
457;j.fluid.2015.01.010;17
458;j.fluid.2008.06.011;17
459;je201010s;17
460;je2011314;17
461;je034053i;17
462;je900643r;16
463;je050237g;16
464;je4004405;16
465;je200145r;16
466;je9000697;16
467;j.jct.2013.06.018;16
468;je2003622;16
469;je200851a;15
470;je8007606;15
